,county,state,tile_count,solar_system_count,total_panel_area,land_area,total_area,ratio_panels_to_housing_units,population,population_density,race_asian_rate,race_black_africa_rate,race_indian_alaska_rate,race_islander_rate,race_white_rate,race_other_rate,race_two_more_rate,diversity,voting_2016_dem_percentage,voting_2016_gop_percentage,voting_2012_dem_percentage,voting_2012_gop_percentage
107,Autauga County,al,28.0,23.0,2567.5424902921,594.436015,604.388097,0.0012399256044637321,55221,810.8957791666667,0.0070663931382225,0.20987176801728333,0.005605473384818333,0.0006303799669600002,0.7492816362855833,0.0100898034804475,0.017454545726655838,0.3429235448378333,0.2395685495320001,0.7343578930290001,0.266,0.726
116,Baldwin County,al,254.0,201.0,18351.453746188,1589.7839889999998,2027.31119,0.002386724549435267,195121,430.4669177419354,0.006675696178948967,0.09699139156441802,0.0064521709611925805,0.0,0.864741111007613,0.008175979344140967,0.0169636509436671,0.21339934549620965,0.195653098098,0.7735147199489997,0.21600000000000014,0.7740000000000006
128,Barbour County,al,8.0,6.0,1010.6774257669999,884.876361,904.5152170000001,0.0006773920406435225,26932,133.33345666666668,0.006922799217610001,0.4657295388731111,0.001474729508979778,0.0,0.4792358699293333,0.035037883872467784,0.01159917859831889,0.5275755519361112,0.46660250240599993,0.522714148219,0.513,0.48300000000000004
197,Bibb County,al,2.0,1.0,225.353901987,622.5823,626.16879,0.00022294058633374206,22604,46.52071,0.00142686996321625,0.17731391148089998,0.00434093831969875,0.0,0.7993588580850001,0.00020905507107875002,0.017350367080147,0.28597721827574996,0.214220393233,0.769661636946,0.262,0.731
217,Blount County,al,18.0,6.0,960.8227261010001,644.7758900000001,650.6282100000001,0.0007544006705783739,57710,93.14489111111112,0.001153116193882889,0.013656573111889999,0.005095130957869999,0.0,0.9526551742326667,0.010607963545833333,0.01683204195775444,0.09034020019243333,0.08469902300660002,0.89851875197,0.12300000000000003,0.8650000000000001
305,Bullock County,al,12.0,4.0,1512.935621968,622.8046999999999,625.1433,0.0026875699888017916,10678,19.66835133333333,0.00226507755632,0.7245393957399999,0.013678402631554997,0.0,0.24757903106989998,0.0,0.011938093002266665,0.3608054789886667,0.750904062965,0.242288874708,0.763,0.235
317,Butler County,al,4.0,4.0,399.1641890285,776.828704,777.881404,0.00040326645831232987,20354,175.734572,0.005005709582871111,0.4054151170752222,0.0006442680922633333,0.0,0.5747427757122223,0.0027402968776377773,0.011451832659751112,0.43346948081644443,0.42786413356399994,0.563154864709,0.461,0.536
342,Calhoun County,al,47.0,42.0,3368.63771362894,605.8676644,612.2863464000003,0.0008818673071149805,116648,574.1127180612903,0.008496725989608966,0.25679929103135657,0.0014612166117121724,9.776399770965517e-05,0.7003623228557412,0.008880324320438272,0.023902355193409656,0.30921881540419655,0.27855876393099993,0.6923969942589995,0.33500000000000024,0.6550000000000001
438,Chambers County,al,11.0,9.0,1684.8104032893,596.5314010000001,603.113751,0.0006495040151157298,34079,389.9785488888889,0.006508605631467778,0.4273163346341111,0.0016323249828633334,0.00032320620555888896,0.5535493273716665,0.00033283408221,0.010337367092164445,0.42757775350966665,0.41827551168500005,0.5663376397150001,0.471,0.5220000000000001
466,Cherokee County,al,10.0,9.0,491.84386506659996,553.69982,599.9776300000001,0.0006156877231867997,26008,71.530445,0.0034745715159693337,0.050080095566183334,0.0056913560162499995,0.00012703252032516667,0.9281072321198334,0.0007031036964733334,0.0118166085650895,0.1335306119130333,0.14510139960000001,0.8387127487379998,0.218,0.7679999999999999
489,Chilton County,al,31.0,24.0,3317.7917024244002,692.8539099999999,700.80243,0.0016106406193172962,43819,105.49756555555557,0.002652371788308889,0.10592122928293,0.0040238318683322215,0.0,0.851247806585,0.02920181665123333,0.0069529438242122215,0.24731967777023334,0.15935360175299998,0.8254176937829999,0.19500000000000003,0.7979999999999999
495,Choctaw County,al,4.0,4.0,518.1313322668,913.5003000000002,920.859,0.0005530973451327434,13395,14.565774999999999,0.0,0.458040470629,0.00016534391534399998,0.0,0.5346948791462499,0.00016534391534399998,0.0069339623941375,0.42113815753325,0.427765547606,0.5643918547060001,0.475,0.521
527,Clarke County,al,6.0,6.0,426.37031434939996,1238.46514,1252.5741400000002,0.0004761904761904762,25070,30.228122222222225,0.0023458164210333338,0.436659269301889,0.0006386330812266668,0.002063584187788889,0.5552218785408889,0.0006391818472355555,0.0024316366200255552,0.4543659976958889,0.441558441558,0.549551638837,0.45699999999999996,0.54
533,Clay County,al,1.0,1.0,58.4392228575,603.96119,606.00173,0.00014841199168892847,13537,26.41106,0.0,0.134153011099225,0.0060735830459499995,0.0,0.831404903213,0.012177723129274998,0.016190779512219998,0.28297658413649995,0.187766281193,0.7958003651860001,0.267,0.723
557,Cleburne County,al,0.0,0.0,0.0,560.10025,561.01357,0.0,15002,30.04341,0.0029429860120875,0.029092686153845,0.002322635135135,0.0,0.94063276344725,0.006003939635820001,0.019004989615645,0.110620391258475,0.10471524801000001,0.878444580527,0.154,0.836
582,Coffee County,al,21.0,17.0,913.363961217,678.971813,680.494823,0.0009220231822971549,50884,381.23082000000005,0.008430593478270713,0.15137875572657786,0.014046796579077144,0.0,0.7923537007237856,0.005032638311679714,0.028757515180499283,0.3206535848276429,0.204455711013,0.7714619997080002,0.24800000000000008,0.7420000000000001
587,Colbert County,al,54.0,48.0,2617.7163101487804,592.6194012,622.1295653000001,0.002071505293846862,54444,845.5876778571429,0.003175389015416429,0.15924905298040712,0.005538471563382857,0.0015390171327071427,0.7901538748439999,0.01114559329918357,0.029198601164842856,0.31990175363757134,0.2962722325999999,0.6788759847319998,0.392,0.596
617,Conecuh County,al,10.0,5.0,1065.1277097268,850.15627,852.72212,0.0014144271570014145,12865,20.6460588,0.000693240901214,0.395284428535,0.0046687697160800005,0.0,0.5624345946632,0.0002523659306,0.036666600253816004,0.47628072507240005,0.469050894085,0.521626165368,0.506,0.49000000000000005
629,Coosa County,al,4.0,4.0,91.219378065,650.92621,666.3497199999999,0.0006190034045187249,11027,22.189953333333335,0.0,0.2998128328322,0.00062707157574,0.0,0.6814065562893333,0.0,0.01815353930273333,0.34161054604976665,0.340800306337,0.646371816963,0.41700000000000004,0.578
639,Covington County,al,12.0,10.0,692.3477864342,1030.4563549999998,1043.7869329999999,0.0006392158951685932,37886,144.44487242857141,0.0031765242041842854,0.14323393286367286,0.005178218087713571,0.0008229622545964285,0.8295143542814286,0.003827252403127143,0.014246755905239284,0.24645042147780002,0.15039828043999998,0.835883171071,0.20500000000000004,0.7880000000000001
662,Crenshaw County,al,2.0,2.0,22.764061000500003,608.83993,610.91576,0.0002983738624496494,13938,22.966829999999998,0.012411325350674999,0.24171842785749997,0.008684152918503333,0.0,0.711921434307,0.013306132801391667,0.011958526765035,0.41223278529599994,0.265994881638,0.721529110685,0.319,0.6749999999999999
675,Cullman County,al,72.0,39.0,4654.629045189,734.8405859999999,755.0209619999999,0.0019405438913295422,80965,214.04522444444444,0.005457827042755002,0.011409837709154998,0.0038404612384111115,0.00024192501436111116,0.9579068916470557,0.007306666507783667,0.013836390840624388,0.0805307659890278,0.10005901604200002,0.8781050485539997,0.14599999999999996,0.8420000000000004
701,Dale County,al,6.0,6.0,826.9991700615999,561.1497600000001,562.7005250000001,0.0002629042152309175,49866,238.36999285714288,0.009534714870983571,0.19472801384632854,0.005070627183510714,0.00015604087708107143,0.750893837961857,0.012884655056007142,0.026732110204169286,0.3627284042561286,0.23677284202599994,0.7411505613149999,0.28500000000000003,0.7059999999999997
703,Dallas County,al,25.0,21.0,1709.18010397507,978.69462,993.8047,0.0012349948130217852,42154,640.1918446000001,0.0035536194006266664,0.6751081724293333,0.001484338249286,0.00042341484069000003,0.3049205803749867,0.002636502580731133,0.011873372124356863,0.34113733373276006,0.6847837693540002,0.30880939669,0.6969999999999998,0.29999999999999993
733,DeKalb County,al,30.0,26.0,1899.31707605526,777.09332,778.6854300000001,0.0009659347028140898,71068,109.75747928571425,0.003244806615992143,0.020229111580299216,0.013060698790645,0.00926393570654857,0.8723068498652145,0.05851195058758072,0.023382646853707143,0.22168382203700004,0.14114850877900004,0.8348922793840002,0.22000000000000006,0.768
863,Elmore County,al,50.0,37.0,3586.2998799875,618.484553,657.0417280000001,0.0015087507543753772,80763,294.42208800000003,0.0047145535533146665,0.21210336983367997,0.002288403249496,0.0,0.7527934977537334,0.011006327871010668,0.01709384773879267,0.3582670400552333,0.2285869123430001,0.7483809781870002,0.2519999999999999,0.7400000000000001
875,Escambia County,al,9.0,9.0,380.36910955889994,945.0803689999999,953.1397089999999,0.0005476118040766656,37935,140.70423777777782,0.0016512465497062223,0.36642892005888883,0.027991595349655556,0.0,0.5864037275117777,0.0033008960356155554,0.014223614494082222,0.41370265287622215,0.30881482942199995,0.6758693222900001,0.369,0.625
884,Etowah County,al,57.0,46.0,3772.40430727718,534.9904956,548.6287937,0.0012,103766,833.4699243333332,0.005487856114106334,0.20866218508451165,0.0033803413285201003,0.000706201343972,0.7535270291362,0.010440891572187002,0.017795495420488663,0.27279247238819665,0.23807333118600013,0.7391084326260003,0.3010000000000001,0.685
903,Fayette County,al,5.0,5.0,214.8321812844,627.65989,629.35592,0.0005941770647653001,16896,31.624760000000002,0.003249377985072,0.10538706445781601,0.0,0.0,0.8769372878218,0.0,0.014426269735377997,0.19009591254144,0.165690580771,0.8180819912149999,0.22800000000000004,0.763
945,Franklin County,al,21.0,10.0,3727.6404372743996,633.8205939999999,646.5225109999999,0.0014967925873129008,31634,146.81689333333333,0.00077913427791,0.04015207491902778,0.008818453074518888,0.0018121125417222223,0.8992425430462223,0.036624979135027776,0.012570703005463334,0.17663841765623334,0.18377248013399997,0.7918025930570001,0.292,0.6970000000000001
1021,Geneva County,al,2.0,2.0,131.1880358821,574.40825,578.9508999999999,0.00015800284405119292,26815,53.78798333333333,0.009969322790996667,0.08627883974933333,0.0028856794128833334,0.0,0.8716137356806666,0.009789262476003334,0.019463159890133336,0.2288023638054667,0.13054292821,0.854876061412,0.17999999999999997,0.8100000000000002
1100,Greene County,al,0.0,0.0,0.0,647.1099999999999,659.9406,0.0,8697,13.838652333333334,0.0012061686913066667,0.8288108368943332,0.0006786891603633333,0.0,0.15948264591066666,0.0,0.009821659343500001,0.2801309952166666,0.823940765117,0.17235705471000004,0.847,0.15
1140,Hale County,al,6.0,5.0,128.4654503355,643.94265,656.50114,0.0007852375343541421,15256,24.484624999999998,0.0037819723872716663,0.5714343968563335,0.0020702702933361665,0.0009920634920633335,0.409275943817,0.008408258796475,0.004037094357816667,0.4458081540675,0.595755305868,0.39600499375799997,0.626,0.371
1235,Henry County,al,5.0,4.0,158.49040263019998,561.75017,568.30883,0.0005580357142857143,17252,43.16514166666667,0.0,0.2813314448793333,0.0,0.0,0.7031521707643335,0.005462821245685,0.010053563110641667,0.39009546940799994,0.28514406885400007,0.701384557815,0.35000000000000003,0.644
1284,Houston County,al,46.0,42.0,2985.2568775428995,579.8241877,581.6543387,0.0009978957415883896,103534,1030.7092854545454,0.00582277919944559,0.3196918768252,0.003866582511504091,0.0004518423306445455,0.6440275100696364,0.00774131416133241,0.01839809490215545,0.36603974321013644,0.25093980490099993,0.7272662384010004,0.295,0.6980000000000003
1349,Jackson County,al,15.0,12.0,1032.2274984615199,1077.867809,1126.770559,0.0006058647709831166,52860,153.49769127272725,0.0038570995911781816,0.031222379932424812,0.011159099637326364,0.0010298786616572727,0.9074754149213636,0.013952669452540365,0.03130345780343636,0.17049804864134546,0.17623286023599996,0.8007216742840003,0.283,0.7020000000000001
1385,Jefferson County,al,346.0,293.0,15584.153086899112,1111.2762399000003,1123.8147385,0.0011390758999851854,659026,2009.0543692638041,0.013154220817244107,0.48371359710400824,0.002152796772424657,0.0002423052531806687,0.46979056381848777,0.020528484574826547,0.010418031659859404,0.3034928950854233,0.5224931147040003,0.45022077756399914,0.5260000000000002,0.46599999999999964
1552,Lamar County,al,4.0,4.0,143.51647723384002,604.8462999999999,605.4643,0.0005468963631391851,14133,23.449879999999997,0.000248077400149,0.11166740357083334,0.0025401663808966666,0.0,0.8734672454116666,0.0056518701975,0.006425237038803333,0.224305482648,0.14932910114,0.839561390853,0.23,0.762
1576,Lauderdale County,al,42.0,32.0,3546.7149176976995,667.6973122999998,720.9899176000001,0.0009511300330630917,92737,948.850551818182,0.008114978159444817,0.1432893244147191,0.004020333813794546,0.00012595163457227273,0.8233899567081774,0.0022489709800036367,0.018810484289319182,0.2269720181763545,0.254476592894,0.7145801664389997,0.3390000000000002,0.6479999999999998
1583,Lawrence County,al,4.0,3.0,391.54002995301,690.67756,717.1983599999999,0.00026333113890717575,33586,69.87565000000001,0.001244329594758889,0.13609251408047002,0.05154565060213667,0.0,0.7593752419548889,0.0005080526342533333,0.05123421113347889,0.3417309666228888,0.24693975244499994,0.733912329891,0.359,0.629
1600,Lee County,al,67.0,59.0,3764.2563615603,607.5359402999999,615.8488278,0.0010313404347022967,150982,1455.6711055555554,0.03183462749941371,0.24482229643323336,0.0021364076594693336,0.00042477413452222224,0.691057008073111,0.012946773357985185,0.01677811284229037,0.40009817312644447,0.3639280016650001,0.5951480890620003,0.393,0.5920000000000004
