,county,state,tile_count,solar_system_count,total_panel_area,land_area,total_area,population,population_density,average_household_income,race_asian_rate,race_black_africa_rate,race_indian_alaska_rate,race_islander_rate,race_white_rate,race_other_rate,race_two_more_rate,diversity,voting_2016_dem_percentage,voting_2016_gop_percentage,avg_electricity_retail_rate,gini_index,ratio_panels_to_housing_units,education_highschool_percentage,education_bachelor_percentage,employed_percentage
107,Autauga County,al,28.0,23.0,2567.5424902921,594.436015,604.388097,55221,810.8957791666667,64064.299479949994,0.0070663931382225,0.20987176801728333,0.005605473384818333,0.0006303799669600002,0.7492816362855833,0.0100898034804475,0.017454545726655838,0.3429235448378333,0.2395685495320001,0.7343578930290001,9.269999999999998,0.42485833333333334,0.0012399256044637321,0.2206044801796418,0.08868003114757067,0.4343637384328426
116,Baldwin County,al,254.0,201.0,18351.453746188,1589.7839889999998,2027.31119,195121,430.4669177419354,66657.72378089999,0.006675696178948967,0.09699139156441802,0.0064521709611925805,0.0,0.864741111007613,0.008175979344140967,0.0169636509436671,0.21339934549620965,0.195653098098,0.7735147199489997,9.270000000000001,0.4390612903225807,0.002386724549435267,0.2020848601636933,0.13523915929090155,0.4405112724924534
128,Barbour County,al,8.0,6.0,1010.6774257669999,884.876361,904.5152170000001,26932,133.33345666666668,44485.459065500014,0.006922799217610001,0.4657295388731111,0.001474729508979778,0.0,0.4792358699293333,0.035037883872467784,0.01159917859831889,0.5275755519361112,0.46660250240599993,0.522714148219,9.269999999999998,0.45753333333333335,0.0006773920406435225,0.24097727610277736,0.05242833803653646,0.31921134709639093
197,Bibb County,al,2.0,1.0,225.353901987,622.5823,626.16879,22604,46.52071,52656.067494124996,0.00142686996321625,0.17731391148089998,0.00434093831969875,0.0,0.7993588580850001,0.00020905507107875002,0.017350367080147,0.28597721827574996,0.214220393233,0.769661636946,9.27,0.42875,0.00022294058633374206,0.29083348079985843,0.04185099982304017,0.36692620775084056
217,Blount County,al,18.0,6.0,960.8227261010001,644.7758900000001,650.6282100000001,57710,93.14489111111112,53897.00915005556,0.001153116193882889,0.013656573111889999,0.005095130957869999,0.0,0.9526551742326667,0.010607963545833333,0.01683204195775444,0.09034020019243333,0.08469902300660002,0.89851875197,9.269999999999998,0.39774444444444446,0.0007544006705783739,0.2283659677698839,0.05884595390746838,0.3844914226303933
305,Bullock County,al,12.0,4.0,1512.935621968,622.8046999999999,625.1433,10678,19.66835133333333,41746.23111836667,0.00226507755632,0.7245393957399999,0.013678402631554997,0.0,0.24757903106989998,0.0,0.011938093002266665,0.3608054789886667,0.750904062965,0.242288874708,9.27,0.46196666666666664,0.0026875699888017916,0.23206592994942873,0.04532684023225323,0.36195916838359243
317,Butler County,al,4.0,4.0,399.1641890285,776.828704,777.881404,20354,175.734572,45182.72654611111,0.005005709582871111,0.4054151170752222,0.0006442680922633333,0.0,0.5747427757122223,0.0027402968776377773,0.011451832659751112,0.43346948081644443,0.42786413356399994,0.563154864709,9.269999999999998,0.43701111111111113,0.00040326645831232987,0.25911368772722804,0.0576299498870001,0.3838557531689103
342,Calhoun County,al,47.0,42.0,3368.63771362894,605.8676644,612.2863464000003,116648,574.1127180612903,49335.00614501429,0.008496725989608966,0.25679929103135657,0.0014612166117121724,9.776399770965517e-05,0.7003623228557412,0.008880324320438272,0.023902355193409656,0.30921881540419655,0.27855876393099993,0.6923969942589995,9.270000000000001,0.44110000000000005,0.0008818673071149805,0.2148515191001989,0.07232871545161512,0.40635930320279817
438,Chambers County,al,11.0,9.0,1684.8104032893,596.5314010000001,603.113751,34079,389.9785488888889,49134.0594947,0.006508605631467778,0.4273163346341111,0.0016323249828633334,0.00032320620555888896,0.5535493273716665,0.00033283408221,0.010337367092164445,0.42757775350966665,0.41827551168500005,0.5663376397150001,9.269999999999998,0.4797333333333333,0.0006495040151157298,0.2682003579917251,0.05281845124563514,0.40168432172305524
466,Cherokee County,al,10.0,9.0,491.84386506659996,553.69982,599.9776300000001,26008,71.530445,50783.8495554,0.0034745715159693337,0.050080095566183334,0.0056913560162499995,0.00012703252032516667,0.9281072321198334,0.0007031036964733334,0.0118166085650895,0.1335306119130333,0.14510139960000001,0.8387127487379998,9.269999999999998,0.4560166666666667,0.0006156877231867997,0.262534604737004,0.05690556751768686,0.3904567825284528
489,Chilton County,al,31.0,24.0,3317.7917024244002,692.8539099999999,700.80243,43819,105.49756555555557,55936.30710914445,0.002652371788308889,0.10592122928293,0.0040238318683322215,0.0,0.851247806585,0.02920181665123333,0.0069529438242122215,0.24731967777023334,0.15935360175299998,0.8254176937829999,9.269999999999998,0.441988888888889,0.0016106406193172962,0.26385814372760674,0.06100093566717634,0.4083844907460234
495,Choctaw County,al,4.0,4.0,518.1313322668,913.5003000000002,920.859,13395,14.565774999999999,47180.21365885,0.0,0.458040470629,0.00016534391534399998,0.0,0.5346948791462499,0.00016534391534399998,0.0069339623941375,0.42113815753325,0.427765547606,0.5643918547060001,9.27,0.481225,0.0005530973451327434,0.26218738335199704,0.05233296005972378,0.3288540500186637
527,Clarke County,al,6.0,6.0,426.37031434939996,1238.46514,1252.5741400000002,25070,30.228122222222225,47369.91916927778,0.0023458164210333338,0.436659269301889,0.0006386330812266668,0.002063584187788889,0.5552218785408889,0.0006391818472355555,0.0024316366200255552,0.4543659976958889,0.441558441558,0.549551638837,9.269999999999998,0.5262333333333333,0.0004761904761904762,0.29976067012365376,0.05743917032309533,0.3255285201435979
533,Clay County,al,1.0,1.0,58.4392228575,603.96119,606.00173,13537,26.41106,42929.435291825,0.0,0.134153011099225,0.0060735830459499995,0.0,0.831404903213,0.012177723129274998,0.016190779512219998,0.28297658413649995,0.187766281193,0.7958003651860001,9.27,0.41104999999999997,0.00014841199168892847,0.2555957745438428,0.04077712934919111,0.3826549457043658
557,Cleburne County,al,0.0,0.0,0.0,560.10025,561.01357,15002,30.04341,49470.8971851,0.0029429860120875,0.029092686153845,0.002322635135135,0.0,0.94063276344725,0.006003939635820001,0.019004989615645,0.110620391258475,0.10471524801000001,0.878444580527,9.27,0.4264,0.0,0.2658312225036662,0.04806025863218238,0.4042794294094121
582,Coffee County,al,21.0,17.0,913.363961217,678.971813,680.494823,50884,381.23082000000005,57877.077064814286,0.008430593478270713,0.15137875572657786,0.014046796579077144,0.0,0.7923537007237856,0.005032638311679714,0.028757515180499283,0.3206535848276429,0.204455711013,0.7714619997080002,9.269999999999998,0.4376714285714285,0.0009220231822971549,0.19949296438959202,0.10317585095511358,0.4109739800330163
587,Colbert County,al,54.0,48.0,2617.7163101487804,592.6194012,622.1295653000001,54444,845.5876778571429,52237.16020685,0.003175389015416429,0.15924905298040712,0.005538471563382857,0.0015390171327071427,0.7901538748439999,0.01114559329918357,0.029198601164842856,0.31990175363757134,0.2962722325999999,0.6788759847319998,9.269999999999998,0.4404285714285714,0.002071505293846862,0.24118360149878776,0.07896186907648226,0.3910440085225185
617,Conecuh County,al,10.0,5.0,1065.1277097268,850.15627,852.72212,12865,20.6460588,40219.04944204001,0.000693240901214,0.395284428535,0.0046687697160800005,0.0,0.5624345946632,0.0002523659306,0.036666600253816004,0.47628072507240005,0.469050894085,0.521626165368,9.27,0.49924,0.0014144271570014145,0.3079673532841042,0.03109211037699184,0.28900116595413916
629,Coosa County,al,4.0,4.0,91.219378065,650.92621,666.3497199999999,11027,22.189953333333335,41451.5292076,0.0,0.2998128328322,0.00062707157574,0.0,0.6814065562893333,0.0,0.01815353930273333,0.34161054604976665,0.340800306337,0.646371816963,9.27,0.4142333333333334,0.0006190034045187249,0.2736011607871588,0.03700009068649678,0.3493243855989843
639,Covington County,al,12.0,10.0,692.3477864342,1030.4563549999998,1043.7869329999999,37886,144.44487242857141,50553.19078889286,0.0031765242041842854,0.14323393286367286,0.005178218087713571,0.0008229622545964285,0.8295143542814286,0.003827252403127143,0.014246755905239284,0.24645042147780002,0.15039828043999998,0.835883171071,9.269999999999998,0.45759285714285713,0.0006392158951685932,0.2346513223882173,0.06730718471203083,0.3748614263844164
662,Crenshaw County,al,2.0,2.0,22.764061000500003,608.83993,610.91576,13938,22.966829999999998,50484.12213198334,0.012411325350674999,0.24171842785749997,0.008684152918503333,0.0,0.711921434307,0.013306132801391667,0.011958526765035,0.41223278529599994,0.265994881638,0.721529110685,9.269999999999998,0.4702166666666667,0.0002983738624496494,0.26036734108193427,0.06851772133735112,0.40321423446692495
675,Cullman County,al,72.0,39.0,4654.629045189,734.8405859999999,755.0209619999999,80965,214.04522444444444,52147.75780946667,0.005457827042755002,0.011409837709154998,0.0038404612384111115,0.00024192501436111116,0.9579068916470557,0.007306666507783667,0.013836390840624388,0.0805307659890278,0.10005901604200002,0.8781050485539997,9.270000000000001,0.44422222222222224,0.0019405438913295422,0.23875748780337183,0.06289137281541407,0.3987154943494102
701,Dale County,al,6.0,6.0,826.9991700615999,561.1497600000001,562.7005250000001,49866,238.36999285714288,56144.15253839999,0.009534714870983571,0.19472801384632854,0.005070627183510714,0.00015604087708107143,0.750893837961857,0.012884655056007142,0.026732110204169286,0.3627284042561286,0.23677284202599994,0.7411505613149999,9.269999999999998,0.43227142857142864,0.0002629042152309175,0.21465527614005536,0.07217342477840613,0.3757068944771989
